item_id,umbral_pct,nivel,color,mensaje_plainspoken,fuente_cita,fuente_url
salud_8pbi,50,ambicioso,amarillo,"A medio camino ya estarías por encima del gasto en salud de Argentina, Brasil y Colombia.",OMS Global Health Expenditure Database 2024,https://apps.who.int/nha/database
salud_8pbi,80,improbable,naranja,"Para hacer útil ese gasto hay que sumar ~75,000 médicos en 5 años. Perú gradúa ~4,000 al año.",MINSA Repositorio Único de Información en Salud,https://www.minsa.gob.pe/reunis/
salud_8pbi,95,improbable,naranja,"Solo Cuba (~12%) y Uruguay (~9%) superan el 8% del PBI en salud en América Latina. Perú duplicaría su gasto sanitario actual de un golpe.",OMS Global Health Expenditure Database 2024,https://apps.who.int/nha/database
educacion_6pbi,50,ambicioso,amarillo,"A medio camino ya estás cerca de la media regional (~5%). Trayectoria realista si se sostiene 5 años.",UNESCO Global Education Monitoring 2024,https://www.unesco.org/gem-report/en
educacion_6pbi,90,improbable,naranja,"Llegar a 6% PBI pondría a Perú a la altura de Bolivia (8%) y por encima de Chile (5%). Salto de 1.7 puntos PBI — la última vez que el país aumentó la inversión educativa en esa magnitud fue durante el primer gobierno de García (1985-90), revirtiéndose después.",UNESCO Global Education Monitoring 2024,https://www.unesco.org/gem-report/en
proteccion_infantil_1pbi,80,plausible,verde,"Duplicar el gasto en niñez es factible — Colombia (0.8%) y Chile (1.2%) ya están en niveles cercanos. Probablemente el envelope más realista del plan.",CEPAL Panorama Social de América Latina 2024,https://www.cepal.org/
id_05pbi,50,ambicioso,amarillo,"A medio camino estás en ~0.33% PBI — aún por debajo del promedio latinoamericano (0.75%).",OCDE Main Science and Technology Indicators 2024,https://www.oecd.org/sti/msti.htm
id_05pbi,90,improbable,naranja,"Triplicar el gasto en I+D en 5 años no ha ocurrido en ningún país de la región. Corea del Sur tardó 20 años en pasar de 1% a 4%. Perú parte de un nivel mucho más bajo (0.15%).",OCDE Main Science and Technology Indicators 2024,https://www.oecd.org/sti/msti.htm
servicio_militar_100k,0,plausible,verde,"100,000 plazas equivale a duplicar el tamaño actual del servicio militar voluntario. Costo modesto en relación a otros items.",Plan JP p. 65,
becas_jovenes,0,plausible,verde,"170,000 becas adicionales es ambicioso pero realista. Beca 18 ya entrega ~30,000/año.",Pronabec estadísticas históricas,https://www.pronabec.gob.pe/
