id,categoria,nombre,descripcion_corta,tipo_control,costo_pleno_millones_pen,base_actual_pct_pbi,meta_pct_pbi,fuente_meta_cita,fuente_meta_url,notas
salud_8pbi,Salud,Salud al 8% del PBI,"JP propone elevar el gasto público en salud desde 3.3% (actual) hasta 8% del PBI, incluyendo infraestructura, personal e insumos.",toggle_con_rampa,47000,3.3,8.0,"Plan JP p. 57 (Resumen, dimensión social 1): '8% del PBI destinado a salud'",,"Sobre PBI 2023 = S/ 999,195 M; gap 4.7 puntos = S/ 46,962 M. Solo Cuba y Uruguay superan 6% en LatAm."
educacion_6pbi,Educación,Educación al 6% del PBI,"JP propone elevar el gasto en educación desde 4.24% (Banco Mundial 2023) hasta 6% del PBI. Incluye básica, superior, infraestructura, formación docente.",toggle_con_rampa,17600,4.24,6.0,"Plan JP p. 51 (eje 11, Educación): '6% del PBI'",,"Gap 1.76 puntos = S/ 17,586 M. UNESCO recomienda mínimo 6%."
proteccion_infantil_1pbi,Niñez,Protección infantil al 1% del PBI,"JP propone duplicar el gasto en protección infantil desde 0.5% (actual) hasta 1% del PBI.",toggle_con_rampa,5000,0.5,1.0,"Plan JP p. 62 (Resumen, dimensión social 4): '1% del PBI destinado a protección infantil'",,"Gap 0.5 puntos = S/ 4,996 M. Chile destina 1.2%, Colombia 0.8%."
id_05pbi,I+D,Investigación y Desarrollo al 0.5% del PBI,"JP propone más que triplicar el gasto en I+D desde 0.15% (actual) hasta 0.5% del PBI.",toggle_con_rampa,3500,0.15,0.5,"Plan JP p. 60 y 67: 'Alcanzar 0.5% del PBI en investigación, ciencia y tecnología'",,"Gap 0.35 puntos = S/ 3,497 M. Promedio LatAm 0.75%, OCDE 2.38%."
servicio_militar_100k,Defensa,Servicio militar voluntario de 100,000 personas,"100,000 hombres y mujeres prestando servicio militar voluntario con incentivos en formación técnica/humanista y estudios técnicos incluidos.",toggle,2500,,,"Plan JP p. 65 (Resumen, dimensión institucional 3): '100 mil hombres y mujeres que prestan el servicio militar, con estudios técnicos incluidos'",,"Estimación: ~S/ 25,000/persona/año (subsistencia + estipendio + formación)."
becas_jovenes,Educación,Becas y plazas adicionales para jóvenes,"120k Beca 18 adicionales + 50k Beca Segunda Oportunidad + 50k plazas laborales + 5k plazas practicantes + 10k primeras prácticas profesionales.",toggle,2000,,,"Plan JP p. 62 y 55 (becas y empleabilidad juventud)",,"Estimación basada en costo unitario actual de Beca 18 (S/ ~12,000/año) escalado."
pension_reparaciones,Justicia transicional,Pensiones reparaciones víctimas (recurrente),"Componente recurrente de las reparaciones a víctimas de la violencia política 1980-2000 (90% reparadas al 2031 de ~69,280 víctimas).",toggle,400,,,"Plan JP p. 64 (Resumen, dimensión institucional 2): '90% de víctimas individuales reparadas al 2031'",,"El componente lump-sum está en archivo 08 (episódicos)."
cultura_recurrente,Cultura,Cultura recurrente,"2,000 proyectos culturales comunitarios financiados al 2031 + 60% trabajadores culturales formalizados + Sistema Nacional de Cultura Plurinacional operativo.",toggle,300,,,"Plan JP p. 64 (Resumen, dimensión institucional 2)",,"Estimación: ~S/ 150 M para Fondo de Cultura + ~S/ 150 M para formalización."
nuevas_instituciones_opex,Estado,Opex de nuevas instituciones y fondos,"Costos operativos recurrentes de ~12 nuevas instituciones/fondos creados por el plan (Verdad y Justicia, Reparaciones, Empleabilidad, Juventudes, Desarrollo Urbano, Innovación Construcción, Ministerio de Ciencia y Tecnología, etc.).",toggle,500,,,"Plan JP — múltiples menciones a lo largo del documento",,"El costo de creación/setup está parcialmente en archivo 08 (episódicos). Aquí solo opex anual."
jovenes_otros,Juventud,Otros programas para jóvenes,"Reforma Política Nacional de Juventud + Programa de certificación y empleabilidad para personas con discapacidad + ESI reforzada + Servicios de salud mental comunitaria.",toggle,300,,,"Plan JP p. 55-56 (eje 12, Juventud)",,"Estimación: programas pequeños sumados."
