gasto_id,sub_nombre,sub_descripcion,costo_anual_estimado_millones_pen,estado,nota,meta_fuente,tambien_en_episodicos
salud_8pbi,40 médicos por 10,000 habitantes,"Cerrar brecha desde 17.9 a 40 médicos por 10k hab — aproximadamente 75,000 profesionales adicionales",,no_cuantificado_por_jp,"Mayor componente de costo de la envelope. Estimación ballpark pendiente.",Plan JP p. 58,false
salud_8pbi,20 médicos primer nivel por 10,000 habitantes,"Cerrar brecha desde 4 a 20 médicos del primer nivel por 10k hab — ~55,000 profesionales para atención primaria",,no_cuantificado_por_jp,"Subconjunto del item anterior. Estimación pendiente.",Plan JP p. 58,false
salud_8pbi,5 nutricionistas por 10,000 habitantes,"Cerrar brecha desde 1 actual",,no_cuantificado_por_jp,"Estimación pendiente.",Plan JP p. 58,false
salud_8pbi,5 psicólogos por 10,000 habitantes,"Cerrar brecha desde 2.4 actual",,no_cuantificado_por_jp,"Estimación pendiente.",Plan JP p. 58,false
salud_8pbi,5 odontólogos por 10,000 habitantes,"Cerrar brecha desde 2.2 actual",,no_cuantificado_por_jp,"Estimación pendiente.",Plan JP p. 58,false
salud_8pbi,5 tecnólogos médicos por 10,000 habitantes,"Cerrar brecha desde 2.6 actual",,no_cuantificado_por_jp,"Estimación pendiente.",Plan JP p. 58,false
salud_8pbi,70% establecimientos primer nivel con capacidad adecuada,"Actualmente solo ~4% (95.89% inadecuados). Implica renovación masiva de >6,000 establecimientos.",,no_cuantificado_por_jp,"Componente CAPEX importante. Parte del costo podría estar en episódicos.",Plan JP p. 57,true
salud_8pbi,50% hospitales con capacidad adecuada,"Actualmente solo ~11% (88.76% inadecuados). 258 hospitales del MINSA, ~9 de cada 10 con problemas estructurales.",,no_cuantificado_por_jp,"Componente CAPEX importante.",Plan JP p. 58,true
salud_8pbi,100% Institutos de Salud Especializados con capacidad adecuada,"14 institutos existentes, 10 con capacidad inadecuada",,no_cuantificado_por_jp,"Componente CAPEX.",Plan JP p. 58,true
salud_8pbi,70% Redes Integradas de Salud operativas,"Sistema de articulación entre niveles de atención",,nueva_institucion_sin_dotacion,"Reorganización del sistema. Estimación pendiente.",Plan JP p. 57,false
salud_8pbi,Fondo Financiero Intangible de Suministros Estratégicos Médicos,"Nuevo fondo para garantizar disponibilidad de medicamentos e insumos.",,nueva_institucion_sin_dotacion,"Fondo nuevo sin dotación asignada.",Plan JP p. 31-32,false
salud_8pbi,200% incremento vacantes universidades públicas en medicina,"Triplicar las vacantes para formar más médicos",,no_cuantificado_por_jp,"Costo en universidades públicas (parcialmente en envelope educación).",Plan JP p. 59,false
salud_8pbi,Reducción anemia infantil <20%,"De 34% actual",,no_cuantificado_por_jp,"Cruza con proteccion_infantil_1pbi.",Plan JP p. 57,false
salud_8pbi,Reducción gasto de bolsillo <15%,"Uno de los más altos de la región actualmente",,no_cuantificado_por_jp,"Indicador de éxito, no item de gasto directo.",Plan JP p. 57,false
