item_id,umbral_pct,nivel,color,mensaje_plainspoken,fuente_cita,fuente_url
evasion_total,15,plausible,verde,"Plausible. Reformas administrativas serias del SUNAT podrían recuperar entre 10-20% de la brecha en 5-10 años — la ruta que tomó Colombia entre 2010 y 2020.","OCDE Estudios Económicos de Perú 2025, sección 1.5.1",https://www.oecd.org/es/publications/estudios-economicos-de-la-ocde-peru-2025_626594d0-es.html
evasion_total,30,ambicioso,amarillo,"Esto significaría que Perú, en 5 años, haga lo que a Chile le tomó 15.","FMI 2022 Propuestas para la reforma tributaria; trayectoria SII chileno 1990-2005",
evasion_total,60,improbable,naranja,"Ningún país latinoamericano ha cerrado más del 50% de su brecha de evasión en un solo período presidencial. Brasil lleva 30 años intentándolo.","CIAT/BID Recaudar no basta (2012); seguimiento 1990-2023",https://publications.iadb.org/publications/spanish/document/Recaudar-no-basta-Los-impuestos-como-instrumento-de-desarrollo.pdf
evasion_total,90,irreal,rojo,"Máximo teórico. Recuperarlo todo implica eliminar la informalidad — el 75.7% de la PEA peruana. No ha ocurrido en ningún país.","MTPE Observatorio de la Formalización Laboral 2022 (citado en Plan JP p. 34)",
exoneraciones_regresivas,40,plausible,verde,"Factible si hay voluntad política. El 50% de los gastos tributarios son exoneraciones (no derechos adquiridos) y podrían modificarse por ley ordinaria.",MEF Marco Macroeconómico Multianual 2026-2029,
exoneraciones_regresivas,80,improbable,naranja,"Eliminar el 80% choca con los regímenes especiales agrario, Amazónico y financiero. Cada uno tiene defensores en el Congreso.",MEF Marco Macroeconómico Multianual 2026-2029,
exoneraciones_regresivas,100,irreal,rojo,"Eliminar el 100% incluye CTS y beneficios laborales protegidos constitucionalmente. No es jurídicamente posible sin reforma constitucional.","Constitución del Perú Art. 24; revisión jurisprudencia TC",
grandes_fortunas,50,plausible,verde,"Hacedero. Argentina implementó un Aporte Solidario similar en 2020 que recaudó ~0.5% del PBI en un año.","AFIP Argentina, Aporte Solidario y Extraordinario Ley 27.605",https://www.argentina.gob.ar/normativa/nacional/ley-27605
grandes_fortunas,100,improbable,naranja,"Llegar al máximo asume cero fuga de capital. En Argentina la fuga reportada redujo la recaudación efectiva ~30%. En Francia (1988-2017), el ISF perdió valor año a año por emigración fiscal hasta ser eliminado.",Conseil des prélèvements obligatoires Francia 2018; AFIP Argentina,
renegociar_cet,40,plausible,verde,"Posible vía no renovación al vencer (varios CET expiran 2026-2030). Bajo riesgo de arbitraje si no se rompen contratos vigentes.",CooperAcción análisis CET sector minero,https://cooperaccion.org.pe/
renegociar_cet,100,improbable,naranja,"Renegociar CET vigentes detonaría arbitrajes en CIADI. Perú perdió US$ 111M en 2022-2023 en casos similares. La factura legal podría superar lo recaudado.",Plan JP p. 18 cita pérdidas CIADI 2022-2023,
mineria_mas40,50,plausible,verde,"Realista si los precios del cobre y oro se mantienen altos. En 2021 — año de precios récord — la minería contribuyó S/ 4,641 M solo en IEM, ~25% por encima de niveles normales.",MEF Análisis del Rendimiento de los Tributos 2023,https://www.mef.gob.pe/
mineria_mas40,100,improbable,naranja,"Sostener +40% año tras año requiere precios altos permanentes Y eliminar los CET de las grandes mineras. La combinación es históricamente excepcional.",BCRP series de precios minerales 2000-2024,https://estadisticas.bcrp.gob.pe/
regalias_mas20,100,plausible,verde,"Cambio normativo simple. La tasa de regalía minera está en la Ley 28258 y puede modificarse por ley ordinaria del Congreso.",Ley 28258 Regalía Minera,
canon_hidrico,100,plausible,verde,"Factible. El marco legal ya existe (Ley 31720, 2023). Solo falta reglamentación y cobro efectivo. La meta de S/ 1,000 M anuales es modesta dada la rentabilidad del agua para minería.","Ley 31720 Canon Hídrico (2023); Plan JP p. 44",
