id,tipo,categoria,nombre,descripcion,monto_total_millones_pen,periodo_anos,monto_anual_amortizado_millones_pen,fuente_cita,fuente_url,notas
metro_lima_transito,gasto,Infraestructura,Red Básica Metro Lima + trenes cercanías + teleféricos,"Acelerar ejecución de líneas restantes del Metro de Lima, sistema de trenes de cercanías, y teleféricos urbanos.",100000,10,10000,"Plan JP p. 62 (Resumen, dimensión social 3); estimaciones de costo basadas en líneas Metro Lima 1 y 2",https://www.proinversion.gob.pe/,"Línea 2 del Metro costó ~US$ 5,750 M (~S/ 21,000 M). Plan promete completar Red Básica + adicionar trenes y teleféricos."
irrigaciones_500k_has,gasto,Infraestructura,500,000 hectáreas nuevas irrigaciones,"Nuevas irrigaciones destinadas a cooperativas agrarias de pequeños productores",20000,5,4000,"Plan JP p. 69 (Resumen, dimensión económica 3): '500 mil has de nuevas irrigaciones implementadas'",,"Estimación: ~US$ 12,000/ha (rango típico de proyectos de irrigación medianos en Perú)."
viviendas_50k,gasto,Vivienda,50,000 viviendas nuevas con Banco de la Nación,"Préstamos hipotecarios y construcción social a través del Banco de la Nación",12000,5,2400,"Plan JP p. 61 (Resumen, dimensión social 3): '50 mil viviendas nuevas construidas con préstamos del Banco de la Nación'",,"Costo unitario asumido ~S/ 240,000/vivienda (programa social, no crédito comercial)."
complejos_industriales,gasto,Industria,10 complejos industriales descentralizados,"Complejos industriales tecnológicos como motores de transformación productiva regional",17500,5,3500,"Plan JP p. 66 (Resumen, dimensión económica 1)",,"Estimación: ~S/ 1,750 M por complejo (industria pesada). Rango amplio dependiendo de sector."
cite_polos_grd,gasto,Industria,20 CITE + 3 polos tecnológicos GRD,"20 nuevos Centros de Innovación Productiva y Transferencia Tecnológica + 3 polos tecnológicos para Gestión del Riesgo de Desastres (Costa, Andes, Amazonía)",5000,5,1000,"Plan JP p. 68 y 71 (Resumen, dimensión económica 2 y territorial 1)",,"Estimación: ~S/ 200 M por CITE + S/ 300-500 M por polo GRD."
parques_mineros,gasto,Minería,600 cooperativas + parques mineros,"600 cooperativas mineras formalizadas en parques mineros con servicios básicos, salud y educación",3000,5,600,"Plan JP p. 69-70 (Resumen, dimensión económica 4)",,"Inversión en infraestructura de los parques + servicios básicos."
reparaciones_lumpsum,gasto,Justicia transicional,Reparaciones lump-sum a víctimas de violencia,"Pagos one-time a víctimas individuales (la pensión recurrente está en 04_gastos.csv)",5000,5,1000,"Plan JP p. 64: '90% víctimas individuales reparadas al 2031'. ~62,300 personas",,"Estimación: ~S/ 80,000 por víctima en promedio (reparación + acompañamiento)."
obras_paralizadas_recuperacion,gasto,Eficiencia,Recuperar 20% de obras públicas paralizadas,"Continuación de obras públicas paralizadas (2,572 obras con S/ 43,163 M comprometidos, 52% sin iniciar)",8600,5,1720,"Plan JP p. 67 (Resumen, dimensión económica 2.2): 'Recuperar el 20% de obras paralizadas'",,"Esto es una ENTRADA de capital ya comprometido — no un gasto recurrente. El monto recupera valor existente."
salud_infra_cierre,gasto,Salud — capex,Cierre brecha infraestructura salud,"Renovar/construir establecimientos del primer nivel (~6,000) y hospitales (258). Parcialmente dentro de salud_8pbi pero requiere CAPEX significativo.",30000,5,6000,"Diagnóstico de Brechas MINSA 2024-2029",https://www.gob.pe/institucion/minsa/informes-publicaciones/7046778-diagnostico-de-brechas-de-infraestructura-o-acceso-a-servicios-del-sector-salud-2027-2029,"Cruza con salud_8pbi (envelope contiene este capex). Listado aquí para vista de inversiones de capital."
educacion_infra_cierre,gasto,Educación — capex,Cierre 20% brecha infraestructura educativa,"Brecha total estimada en S/ 158,832 M (MINEDU 2023). Plan promete cerrar 20% — equivale a S/ 31,766 M.",31766,5,6353,"MINEDU Diagnóstico de Brecha de Infraestructura Educativa, corte 2023",,"Plan JP p. 51. Cruza con educacion_6pbi."
nuevas_instituciones_setup,gasto,Estado — capex,Setup de nuevas instituciones,"Costo de creación de ~12 nuevas instituciones/fondos: edificios, IT, contratación inicial",3000,2,1500,"Plan JP — múltiples menciones",,"Costo one-time mayoritario en los primeros 2 años de gobierno."
renta_extraordinaria_desastres,ingreso,Eventos extraordinarios,Renta extraordinaria por desastres socio-naturales,"Impuesto extraordinario que se activa ante desastres (Niño costero, terremotos, etc.) — episódico por naturaleza.",,,3000,"Plan JP p. 67 (Resumen, dimensión económica 2.2)",,"Episódico. Solo se activa en años de eventos extremos. Argentina aplicó similar tras COVID."
recuperar_obras_paralizadas_ingreso,ingreso,Eficiencia,Recuperar valor de obras paralizadas (una vez),"Las obras paralizadas representan capital ya comprometido (S/ 43,163 M). Recuperar 20% = S/ 8,600 M valor desbloqueado.",8600,1,8600,"Plan JP p. 67 (Resumen, dimensión económica 2.2)",,"NO es nuevo ingreso tributario — es eficiencia en uso del presupuesto existente. Listado aquí para completitud."
